Word 1	Word 2	Count	perMillion
only	a 	27206	126.334775592666
become	a 	27045	125.587150110404
those	who 	26965	125.215659187541
access	to 	26935	125.076350091467
established	in 	26912	124.969546451144
away	from 	26862	124.737364624354
interest	in 	26797	124.435528249528
same	year 	26706	124.012957324771
but	also 	26687	123.924728230591
North	America 	26659	123.794706407589
what	is 	26649	123.748270042231
unable	to 	26594	123.492870032763
opened	in 	26547	123.274619115581
where	it 	26409	122.633797273642
site	of 	26379	122.494488177568
being	the 	26377	122.485200904497
went	to 	26330	122.266949987315
when	a 	26317	122.206582712349
together	with 	26272	121.997619068239
left	the 	26254	121.914033610595
use	the 	26252	121.904746337523
example	of 	26166	121.505393595445
when	they 	26124	121.310360860942
at	that 	26109	121.240706312905
ability	to 	26002	120.743837203576
are	used 	25980	120.641677199789
total	of 	25950	120.502368103715
at	this 	25943	120.469862647965
during	a 	25900	120.270186276926
or	more 	25844	120.010142630921
their	first 	25827	119.931200809813
compared	to 	25806	119.833684442562
Church	of 	25731	119.485411702377
but	he 	25694	119.313597150553
where	they 	25673	119.216080783302
through	a 	25512	118.468455301040
described	as 	25469	118.268778930001
Award	for 	25385	117.878713460994
portion	of 	25195	116.996422519195
Board	of 	25176	116.908193425015
be	found 	25155	116.810677057763
part	in 	25075	116.439186134900
it	can 	24934	115.784433383354
Order	of 	24930	115.765858837211
be	seen 	24828	115.292207910560
role	of 	24812	115.217909725988
its	first 	24706	114.725684253194
only	one 	24634	114.391342422617
forced	to 	24554	114.019851499754
failed	to 	24371	113.170066013705
located	on 	24343	113.040044190703
refer	to 	24342	113.035400554167
New	Jersey 	24318	112.923953277308
also	been 	24241	112.566393264052
San	Francisco 	24198	112.366716893013
Minister	of 	24170	112.236695070011
production	of 	24158	112.180971431582
King	of 	24137	112.083455064330
center	of 	24130	112.050949608580
set	up 	24066	111.753756870289
only	the 	24057	111.711964141467
designed	to 	23893	110.950407749598
Republic	of 	23867	110.829673199667
owned	by 	23729	110.188851357729
intended	to 	23571	109.455156785074
case	of 	23461	108.944356766137
areas	of 	23434	108.818978579671
population	was 	23325	108.312822197270
derived	from 	23267	108.043491278194
collection	of 	23092	107.230854884431
Despite	the 	22865	106.176749390807
been	the 	22858	106.144243935057
city	in 	22796	105.856338469838
director	of 	22641	105.136574806790
received	a 	22581	104.857956614643
divided	into 	22529	104.616487514782
towards	the 	22527	104.607200241711
daughter	of 	22486	104.416811143743
each	of 	22448	104.240352955383
most	important 	22353	103.799207484483
front	of 	22332	103.701691117232
then	the 	22305	103.576312930765
has	an 	22272	103.423072925084
depending	on 	22231	103.232683827117
outside	the 	22231	103.232683827117
work	on 	22174	102.967996544577
wanted	to 	22118	102.707952898573
because	it 	22025	102.276094700745
top	of 	22001	102.164647423886
known	to 	21988	102.104280148920
He	died 	21925	101.811731047166
this	period 	21876	101.584192856912
refused	to 	21831	101.375229212802
tried	to 	21810	101.277712845550
Act	of 	21765	101.068749201440
These	are 	21680	100.674040095898
creation	of 	21613	100.362916448000
two	of 	21591	100.260756444212
those	of 	21539	100.019287344351
sent	to 	21535	100.000712798208
attempted	to 	21449	99.601360056130
Secretary	of 	21438	99.550280054237
upon	the 	21394	99.345960046662
she	had 	21332	99.058054581443
created	by 	21294	98.881596393083
best	known 	21263	98.737643660474
using	a 	21223	98.551898199042
caused	by 	21203	98.459025468326
may	also 	21193	98.412589102969
based	in 	21179	98.347578191468
made	the 	21136	98.147901820429
directed	by 	21031	97.660319984171
source	of 	20841	96.778029042371
response	to 	20781	96.499410850224
though	the 	20686	96.058265379324
level	of 	20564	95.491741721958
considered	to 	20438	94.906643518448
made	by 	20412	94.785908968518
loss	of 	20309	94.307614405331
support	of 	20271	94.131156216971
have	to 	20261	94.084719851614
Hall	of 	20202	93.810745296002
who	are 	20184	93.727159838358
release	of 	20182	93.717872565286
system	of 	20175	93.685367109536
down	the 	20169	93.657505290321
behind	the 	20162	93.624999834570
out	to 	20151	93.573919832677
death	in 	20137	93.508908921176
government	of 	20111	93.388174371245
He	served 	20064	93.169923454063
time	to 	20037	93.044545267597
become	the 	19999	92.868087079237
from	their 	19997	92.858799806165
out	the 	19991	92.830937986951
leader	of 	19971	92.738065256235
during	World 	19925	92.524457975589
section	of 	19901	92.413010698730
consisted	of 	19874	92.287632512263
shortly	after 	19812	91.999727047044
from	its 	19801	91.948647045151
up	with 	19737	91.651454306860
were	in 	19737	91.651454306860
Duke	of 	19712	91.535363393466
consisting	of 	19694	91.451777935821
within	a 	19693	91.447134299286
leading	to 	19687	91.419272480071
many	other 	19686	91.414628843535
three	years 	19653	91.261388837854
following	year 	19652	91.256745201318
point	of 	19637	91.187090653281
being	a 	19561	90.834174276562
began	in 	19534	90.708796090095
resulting	in 	19495	90.527694265199
thousands	of 	19406	90.114410613514
agreed	to 	19404	90.105123340443
been	used 	19379	89.989032427048
including	a 	19331	89.766137873330
trying	to 	19258	89.427152406218
required	to 	19257	89.422508769682
study	of 	19233	89.311061492823
Supreme	Court 	19213	89.218188762107
an	early 	19201	89.162465123678
above	the 	19165	88.995294208389
right	to 	19154	88.944214206496
work	in 	19137	88.865272385387
need	to 	19112	88.749181471992
enough	to 	19069	88.549505100954
added	to 	19058	88.498425099060
even	though 	19023	88.335897820307
seen	in 	18961	88.047992355088
seen	as 	18939	87.945832351301
kind	of 	18913	87.825097801370
War	I 	18893	87.732225070655
states	that 	18888	87.709006887976
later	in 	18885	87.695075978368
Court	of 	18879	87.667214159154
outside	of 	18871	87.630065066867
they	would 	18846	87.513974153473
included	in 	18755	87.091403228716
lived	in 	18646	86.585246846315
versions	of 	18637	86.543454117493
support	for 	18620	86.464512296384
village	of 	18607	86.404145021419
reported	that 	18599	86.366995929133
chairman	of 	18591	86.329846836847
work	of 	18587	86.311272290703
province	of 	18584	86.297341381096
States	and 	18468	85.758679542945
argued	that 	18427	85.568290444977
regarded	as 	18402	85.452199531583
him	in 	18383	85.363970437403
elected	to 	18379	85.345395891259
years	old 	18379	85.345395891259
its	name 	18356	85.238592250936
allowed	to 	18341	85.168937702899
saw	the 	18279	84.881032237680
designed	by 	18258	84.783515870429
included	the 	18256	84.774228597357
presence	of 	18255	84.769584960822
attempts	to 	18226	84.634919501284
managed	to 	18224	84.625632228212
she	has 	18215	84.583839499390
an	area 	18213	84.574552226318
had	not 	18198	84.504897678282
like	a 	18150	84.282003124564
believed	that 	18139	84.230923122670
line	of 	18138	84.226279486134
nature	of 	18123	84.156624938097
rate	of 	18099	84.045177661239
course	of 	18023	83.692261284519
given	to 	17984	83.511159459623
South	Africa 	17978	83.483297640408
participated	in 	17964	83.418286728907
given	the 	17952	83.362563090478
composed	of 	17902	83.130381263688
only	to 	17878	83.018933986829
took	the 	17857	82.921417619578
district	of 	17840	82.842475798469
an	example 	17832	82.805326706183
believed	to 	17813	82.717097612003
examples	of 	17791	82.614937608216
forms	of 	17764	82.489559421749
College	of 	17746	82.405973964105
influenced	by 	17724	82.303813960318
received	the 	17716	82.266664868031
claimed	that 	17715	82.262021231496
reference	to 	17675	82.076275770064
found	that 	17656	81.988046675884
lead	to 	17645	81.936966673991
awarded	the 	17644	81.932323037455
view	of 	17628	81.858024852882
if	they 	17604	81.746577576023
de	la 	17591	81.686210301058
were	made 	17527	81.389017562767
region	of 	17516	81.337937560874
Book	of 	17499	81.258995739765
Governor	of 	17497	81.249708466694
entered	the 	17482	81.180053918657
Council	of 	17413	80.859642997688
concept	of 	17375	80.683184809328
living	in 	17348	80.557806622861
once	again 	17340	80.520657530575
out	in 	17327	80.460290255610
time	the 	17326	80.455646619074
played	in 	17296	80.316337523000
going	to 	17275	80.218821155749
him	as 	17249	80.098086605818
or	other 	17239	80.051650240460
World	Cup 	17208	79.907697507851
command	of 	17205	79.893766598244
led	the 	17158	79.675515681061
up	a 	17114	79.471195673487
any	other 	17087	79.345817487020
start	of 	17068	79.257588392840
percent	of 	17030	79.081130204480
whom	he 	17022	79.043981112194
make	the 	17005	78.965039291086
thought	to 	17000	78.941821108407
appeared	on 	16963	78.770006556583
carried	out 	16961	78.760719283511
idea	of 	16946	78.691064735474
played	a 	16923	78.584261095151
served	by 	16922	78.579617458615
home	of 	16821	78.110610168501
capable	of 	16701	77.553373784206
formed	in 	16679	77.451213780419
capital	of 	16659	77.358341049703
city	and 	16654	77.335122867024
called	a 	16651	77.321191957417
He	then 	16610	77.130802859449
They	also 	16602	77.093653767163
dedicated	to 	16580	76.991493763376
opposed	to 	16515	76.689657388549
continues	to 	16504	76.638577386656
difficult	to 	16503	76.633933750120
although	it 	16496	76.601428294369
University	in 	16484	76.545704655940
many	years 	16449	76.383177377187
published	by 	16449	76.383177377187
people	of 	16413	76.216006461899
about	a 	16398	76.146351913862
where	she 	16349	75.918813723608
cost	of 	16324	75.802722810214
North	Carolina 	16305	75.714493716034
suggested	that 	16276	75.579828256496
Institute	of 	16271	75.556610073817
create	a 	16221	75.324428247027
title	of 	16207	75.259417335526
years	in 	16196	75.208337333633
cannot	be 	16181	75.138682785596
tend	to 	16159	75.036522781809
make	a 	16155	75.017948235665
live	in 	16148	74.985442779915
name	was 	16142	74.957580960700
her	to 	16130	74.901857322271
come	to 	16121	74.860064593449
value	of 	16108	74.799697318483
album	was 	16030	74.437493668692
continue	to 	16023	74.404988212941
written	in 	16022	74.400344576406
fall	of 	16016	74.372482757191
expected	to 	16006	74.326046391833
life	of 	16006	74.326046391833
made	of 	16001	74.302828209154
episode	of 	15970	74.158875476545
made	his 	15968	74.149588203473
most	common 	15964	74.131013657330
if	a 	15929	73.968486378577
general	election 	15901	73.838464555575
making	it 	15880	73.740948188324
until	his 	15853	73.615570001857
relationship	with 	15838	73.545915453820
film	was 	15834	73.527340907677
first	to 	15810	73.415893630818
process	of 	15789	73.318377263567
way	of 	15770	73.230148169387
years	after 	15761	73.188355440565
deal	with 	15750	73.137275438671
most	popular 	15700	72.905093611882
again	in 	15684	72.830795427309
means	of 	15682	72.821508154237
